,store_id,store_street,store_coord_link,store_city,store_state,store_zip,store_lat,store_long
320,10187,3495 US Rt 1 S,"https://www.google.com/maps/dir/?api=1&destination=40.308146,-74.668208",Princeton,NJ,08540,40.308146,-74.668208
321,10639,319 Chimney Rock Rd,"https://www.google.com/maps/dir/?api=1&destination=40.576239,-74.562346",Bound Brook,NJ,08805,40.576239,-74.562346
322,10519,110 Washington St,"https://www.google.com/maps/dir/?api=1&destination=40.799238,-74.488784",Morristown,NJ,07960,40.799238,-74.488784
323,10501,60 Waterview Blvd,"https://www.google.com/maps/dir/?api=1&destination=40.875332,-74.431896",Parsippany,NJ,07054,40.875332,-74.431896
324,10157,222 Main St,"https://www.google.com/maps/dir/?api=1&destination=40.753479,-74.405429",Madison,NJ,07940,40.753479,-74.405429
325,10602,645 Middlesex Ave,"https://www.google.com/maps/dir/?api=1&destination=40.5398,-74.366",Metuchen,NJ,08840,40.5398,-74.366
326,10576,"1255 Raritan Rd, Unit 150","https://www.google.com/maps/dir/?api=1&destination=40.63152359,-74.30426613",Clark,NJ,07066,40.63152359,-74.30426613
327,10312,2245 Springfield Ave,"https://www.google.com/maps/dir/?api=1&destination=40.71703832,-74.28682615",Vauxhall,NJ,07088,40.71703832,-74.28682615
328,10451,113 Route 9 South,"https://www.google.com/maps/dir/?api=1&destination=40.35191499,-74.30932204",Marlboro,NJ,07726,40.35191499,-74.30932204
329,10265,235 Prospect Ave,"https://www.google.com/maps/dir/?api=1&destination=40.804218,-74.248906",West Orange,NJ,07052,40.804218,-74.248906
330,10732,560 Valley Rd,"https://www.google.com/maps/dir/?api=1&destination=40.930789,-74.226614",Wayne,NJ,07470,40.930789,-74.226614
331,10059,701 Bloomfield Ave,"https://www.google.com/maps/dir/?api=1&destination=40.818472,-74.223046",Montclair,NJ,07042,40.818472,-74.223046
332,10559,633 Broad St,"https://www.google.com/maps/dir/?api=1&destination=40.740059,-74.17011",Newark,NJ,07102,40.740059,-74.17011
333,10106,44 Godwin Ave,"https://www.google.com/maps/dir/?api=1&destination=40.978372,-74.122564",Ridgewood,NJ,07450,40.978372,-74.122564
334,10774,500 Chestnut Ridge Road,"https://www.google.com/maps/dir/?api=1&destination=41.04283551,-74.0714826",Woodcliff Lake,NJ,07677,41.04283551,-74.0714826
335,10279,300 Bergen Town Center,"https://www.google.com/maps/dir/?api=1&destination=40.91384342,-74.05734528",Paramus,NJ,07652,40.91384342,-74.05734528
336,10213,471 St Rt 35 N,"https://www.google.com/maps/dir/?api=1&destination=40.375373,-74.087337",Red Bank,NJ,07701,40.375373,-74.087337
337,10772,135 Greene St.,"https://www.google.com/maps/dir/?api=1&destination=40.71789,-74.03715",Jersey City,NJ,07311,40.71789,-74.03715
338,10711,1400 Waterfront Terrace,"https://www.google.com/maps/dir/?api=1&destination=40.761809,-74.022937",Weehawken,NJ,07086,40.761809,-74.022937
339,10102,905 River Rd,"https://www.google.com/maps/dir/?api=1&destination=40.824835,-73.973742",Edgewater,NJ,07020,40.824835,-73.973742
340,10381,45 Vervalen St,"https://www.google.com/maps/dir/?api=1&destination=40.97068755,-73.95634458",Closter,NJ,07624,40.97068755,-73.95634458
341,10587,1933 NJ-35,"https://www.google.com/maps/dir/?api=1&destination=40.154645,-74.056864",Wall,NJ,07719,40.154645,-74.056864
342,10104,753 Cerrillos Rd,"https://www.google.com/maps/dir/?api=1&destination=35.678896,-105.950174",Santa Fe,NM,87505,35.678896,-105.950174
343,10144,5815 Wyoming Blvd NE,"https://www.google.com/maps/dir/?api=1&destination=35.146488,-106.556026",Albuquerque,NM,87109,35.146488,-106.556026
344,10420,2103 Carlisle Blvd NE,"https://www.google.com/maps/dir/?api=1&destination=35.102702,-106.605117",Albuquerque,NM,87110,35.102702,-106.605117
345,10245,270 Greenwich St,"https://www.google.com/maps/dir/?api=1&destination=40.715619,-74.011563",New York,NY,10007,40.715619,-74.011563
346,10696,66 Broadway,"https://www.google.com/maps/dir/?api=1&destination=40.70705,-74.0122",New York,NY,10005,40.70705,-74.0122
347,10713,450 W 33rd St,"https://www.google.com/maps/dir/?api=1&destination=40.752762,-73.999959",New York,NY,10001,40.752762,-73.999959
348,10131,250 7th Ave,"https://www.google.com/maps/dir/?api=1&destination=40.745113,-73.995347",New York,NY,10001,40.745113,-73.995347
349,10162,4 Union Square S,"https://www.google.com/maps/dir/?api=1&destination=40.734741,-73.991243",New York,NY,10003,40.734741,-73.991243
350,10236,95 East Houston St,"https://www.google.com/maps/dir/?api=1&destination=40.723779,-73.992409",New York,NY,10002,40.723779,-73.992409
351,10578,1095 6th Ave,"https://www.google.com/maps/dir/?api=1&destination=40.754632,-73.984832",New York,NY,10036,40.754632,-73.984832
352,10160,"10 Columbus Cir, Ste Sc101","https://www.google.com/maps/dir/?api=1&destination=40.767879,-73.983007",New York,NY,10019,40.767879,-73.983007
353,10773,63 Madison Ave,"https://www.google.com/maps/dir/?api=1&destination=40.74369137,-73.98552717",New York,NY,10016,40.74369137,-73.98552717
354,10328,808 Columbus Ave,"https://www.google.com/maps/dir/?api=1&destination=40.79417,-73.9668",New York,NY,10025,40.79417,-73.9668
355,10408,226 E 57th St,"https://www.google.com/maps/dir/?api=1&destination=40.75958,-73.966348",New York,NY,10022,40.75958,-73.966348
356,10518,1551 3rd Ave,"https://www.google.com/maps/dir/?api=1&destination=40.779742,-73.95295",New York,NY,10128,40.779742,-73.95295
357,10517,100 W 125th St,"https://www.google.com/maps/dir/?api=1&destination=40.807597,-73.946138",New York,NY,10027,40.807597,-73.946138
358,10601,3139 Sheridan Dr,"https://www.google.com/maps/dir/?api=1&destination=42.979048,-78.816984",Amherst,NY,14226,42.979048,-78.816984
359,10662,2740 Monroe Ave,"https://www.google.com/maps/dir/?api=1&destination=43.114125,-77.550309",Rochester,NY,14618,43.114125,-77.550309
360,10779,167 41st St,"https://www.google.com/maps/dir/?api=1&destination=40.654445,-74.011742",Brooklyn,NY,11232,40.654445,-74.011742
361,10220,214 3rd St,"https://www.google.com/maps/dir/?api=1&destination=40.675028,-73.988853",Brooklyn,NY,11215,40.675028,-73.988853
362,10709,292 Ashland Pl,"https://www.google.com/maps/dir/?api=1&destination=40.686609,-73.97841",Brooklyn,NY,11217,40.686609,-73.97841
363,10487,238 Bedford Ave,"https://www.google.com/maps/dir/?api=1&destination=40.716168,-73.959802",Brooklyn,NY,11249,40.716168,-73.959802
364,10492,1425 Central Ave,"https://www.google.com/maps/dir/?api=1&destination=42.7089555,-73.81888489",Albany,NY,12205,42.7089555,-73.81888489
365,10343,1 Ridge Hill Blvd,"https://www.google.com/maps/dir/?api=1&destination=40.96171562,-73.85649692",Yonkers,NY,10710,40.96171562,-73.85649692
366,10600,20 The Crossing,"https://www.google.com/maps/dir/?api=1&destination=41.177948,-73.75497",Chappaqua,NY,10514,41.177948,-73.75497
367,10163,110 Bloomingdale Rd,"https://www.google.com/maps/dir/?api=1&destination=41.028294,-73.758904",White Plains,NY,10605,41.028294,-73.758904
368,10483,575 Boston Post Road,"https://www.google.com/maps/dir/?api=1&destination=40.99254119,-73.67545371",Port Chester,NY,10573,40.99254119,-73.67545371
369,10063,2101 Northern Blvd,"https://www.google.com/maps/dir/?api=1&destination=40.797214,-73.670765",Manhasset,NY,11030,40.797214,-73.670765
370,10706,867 East Gate Blvd,"https://www.google.com/maps/dir/?api=1&destination=40.7428,-73.60778",Garden City,NY,11530,40.7428,-73.60778
371,10161,429 North Broadway,"https://www.google.com/maps/dir/?api=1&destination=40.788943,-73.534703",Jericho,NY,11753,40.788943,-73.534703
372,10749,5214 Sunrise Hwy,"https://www.google.com/maps/dir/?api=1&destination=40.675976,-73.443629",Massapequa Park,NY,11762,40.675976,-73.443629
373,10683,120 Veterans Memorial Hwy #34,"https://www.google.com/maps/dir/?api=1&destination=40.838117,-73.284123",Commack,NY,11725,40.838117,-73.284123
374,10240,120 New Moriches Rd,"https://www.google.com/maps/dir/?api=1&destination=40.869705,-73.12585",Lake Grove,NY,11755,40.869705,-73.12585
375,10351,70 Merrimon Ave,"https://www.google.com/maps/dir/?api=1&destination=35.601892,-82.554715",Asheville,NC,28801,35.601892,-82.554715
376,10520,"4 S Tunnel Rd, Ste 100","https://www.google.com/maps/dir/?api=1&destination=35.58238676,-82.52312381",Asheville,NC,28805,35.58238676,-82.52312381
377,10783,1856 Hendersonville Rd,"https://www.google.com/maps/dir/?api=1&destination=35.501038,-82.521395",Asheville,NC,28803,35.501038,-82.521395
378,10543,9129 Sam Furr Rd,"https://www.google.com/maps/dir/?api=1&destination=35.444104,-80.871661",Huntersville,NC,28078,35.444104,-80.871661
379,10644,400 East Brooklyn Village Ave,"https://www.google.com/maps/dir/?api=1&destination=35.2212,-80.8465",Charlotte,NC,28202,35.2212,-80.8465
380,10443,6610 Fairview Rd,"https://www.google.com/maps/dir/?api=1&destination=35.147279,-80.830176",Charlotte,NC,28210,35.147279,-80.830176
381,10110,41 Miller St,"https://www.google.com/maps/dir/?api=1&destination=36.09418,-80.273814",Winston-Salem,NC,27104,36.09418,-80.273814
382,10592,7221 Waverly Walk Ave,"https://www.google.com/maps/dir/?api=1&destination=35.05322873,-80.76731725",Charlotte,NC,28277,35.05322873,-80.76731725
383,10426,3202 W Friendly Ave,"https://www.google.com/maps/dir/?api=1&destination=36.085624,-79.834028",Greensboro,NC,27408,36.085624,-79.834028
384,10008,81 S Elliot Rd,"https://www.google.com/maps/dir/?api=1&destination=35.934529,-79.027569",Chapel Hill,NC,27514,35.934529,-79.027569
385,10041,621 Broad St,"https://www.google.com/maps/dir/?api=1&destination=36.007046,-78.920644",Durham,NC,27705,36.007046,-78.920644
386,10611,5055 Arco St,"https://www.google.com/maps/dir/?api=1&destination=35.833593,-78.882466",Cary,NC,27519,35.833593,-78.882466
387,10132,102B New Waverly Pl,"https://www.google.com/maps/dir/?api=1&destination=35.737361,-78.777234",Cary,NC,27518,35.737361,-78.777234
388,10338,8710 Six Forks Rd,"https://www.google.com/maps/dir/?api=1&destination=35.89927263,-78.65054925",Raleigh,NC,27615,35.89927263,-78.65054925
389,10016,3540 Wade Ave,"https://www.google.com/maps/dir/?api=1&destination=35.802456,-78.686355",Raleigh,NC,27607,35.802456,-78.686355
390,10453,3804 Oleander Dr,"https://www.google.com/maps/dir/?api=1&destination=34.213686,-77.900814",Wilmington,NC,28403,34.213686,-77.900814
391,10287,2693 Edmondson Rd,"https://www.google.com/maps/dir/?api=1&destination=39.14547,-84.447324",Cincinnati,OH,45209,39.14547,-84.447324
392,10666,"5901 E Galbraith Rd, Ste 105","https://www.google.com/maps/dir/?api=1&destination=39.205289,-84.373899",Cincinnati,OH,45236,39.205289,-84.373899
